codigo_ocorrencia1;ocorrencia_tipo;taxonomia_tipo_icao
80183;FALHA DO MOTOR EM VOO;SCF-PP
80181;FALHA DO MOTOR EM VOO;SCF-PP
80180;OUTROS;OTHR
80179;COM TREM DE POUSO;SCF-NP
80178;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80177;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
80176;PERDA DE CONTROLE EM VOO;LOC-I
80176;REBOQUE DE PLANADOR;GTOW
80175;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
80175;CORTANTE DE VENTO / TEMPESTADE;WSTRW
80174;INCURSÃO EM PISTA;RI
80173;COM TREM DE POUSO;SCF-NP
80172;EXCURSÃO DE PISTA;RE
80172;PERDA DE CONTROLE NO SOLO;LOC-G
80171;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
80170;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80169;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80168;FALHA DO MOTOR EM VOO;SCF-PP
80167;COM TREM DE POUSO;SCF-NP
80166;POUSO BRUSCO;ARC
80165;ESTOURO DE PNEU;SCF-NP
80164;FALHA DO MOTOR EM VOO;SCF-PP
80163;COM HÉLICE;SCF-PP
80162;COM CARGAS EXTERNAS;EXTL
80161;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
80160;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80159;OUTROS;OTHR
80158;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80156;EXCURSÃO DE PISTA;RE
80156;PERDA DE CONTROLE NO SOLO;LOC-G
80155;COM TREM DE POUSO;SCF-NP
80154;INDETERMINADO;UNK
80152;INCURSÃO EM PISTA;RI
80151;GERENCIAMENTO DE TRÁFEGO AÉREO (ATM) / SERVIÇO DE COMUNICAÇÃO NAVEGAÇÃO, OU VIGILÂNCIA (CNS);ATM/CNS
80151;INCURSÃO EM PISTA;RI
80150;VOO CONTROLADO CONTRA O TERRENO;CFIT
80148;OUTROS;OTHR
80147;OUTROS;OTHR
80146;OUTROS;OTHR
80145;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80144;EXCURSÃO DE PISTA;RE
80144;PERDA DE COMPONENTE NO SOLO;SCF-NP
80143;EXCURSÃO DE PISTA;RE
80143;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80142;FALHA DO MOTOR EM VOO;SCF-PP
80141;EXCURSÃO DE PISTA;RE
80141;PERDA DE CONTROLE NO SOLO;LOC-G
80140;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80139;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80138;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80137;POUSO BRUSCO;ARC
80136;PERDA DE COMPONENTE NO SOLO;SCF-NP
80135;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80134;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80133;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80132;FOGO NO SOLO;F-NI
80131;FALHA DO MOTOR EM VOO;SCF-PP
80130;FALHA DO MOTOR EM VOO;SCF-PP
80129;ESTOURO DE PNEU;SCF-NP
80128;COM TREM DE POUSO;SCF-NP
80127;TRÁFEGO AÉREO;MAC
80124;INCURSÃO EM PISTA;RI
80123;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80122;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80121;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80120;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80119;FALHA DO MOTOR EM VOO;SCF-PP
80117;COM COMANDOS DE VOO;SCF-NP
80116;EXCURSÃO DE PISTA;RE
80116;PERDA DE CONTROLE NO SOLO;LOC-G
80115;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80114;EXCURSÃO DE PISTA;RE
80114;POUSO BRUSCO;ARC
80112;ESTOURO DE PNEU;SCF-NP
80111;ESTOURO DE PNEU;SCF-NP
80108;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80106;VOO CONTROLADO CONTRA O TERRENO;CFIT
80105;COLISÃO EM VOO COM OBSTÁCULO;EXCLUIR
80104;ESTOURO DE PNEU;SCF-NP
80103;INDETERMINADO;UNK
80102;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80101;FALHA DO MOTOR EM VOO;SCF-PP
80100;FOGO EM VOO;F-NI
80099;EXCURSÃO DE PISTA;RE
80099;PERDA DE CONTROLE NO SOLO;LOC-G
80098;COM PARA-BRISAS / JANELA / PORTA;SCF-NP
80097;COLISÃO COM AVE;BIRD
80096;PERDA DE CONTROLE EM VOO;LOC-I
80095;ESTOURO DE PNEU;SCF-NP
80094;ESTOURO DE PNEU;SCF-NP
80093;DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA;SCF-NP
80092;INDETERMINADO;UNK
80090;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80089;FALHA DO MOTOR EM VOO;SCF-PP
80088;OUTROS;OTHR
80087;FALHA DO MOTOR EM VOO;SCF-PP
80086;IMC NÃO INTENCIONAL;UIMC
80086;PERDA DE CONTROLE EM VOO;LOC-I
80085;COM TREM DE POUSO;SCF-NP
80084;POUSO LONGO;RE
80083;FALHA DO MOTOR EM VOO;SCF-PP
80082;ESTOURO DE PNEU;SCF-NP
80081;PERDA DE CONTROLE NO SOLO;LOC-G
80080;COM ROTOR;SCF-PP
80079;FALHA DO MOTOR EM VOO;SCF-PP
80079;MANOBRA ABRUPTA;AMAN
80078;FALHA DO MOTOR EM VOO;SCF-PP
80077;POUSO EM LOCAL NÃO PREVISTO;OTHR
80076;OPERAÇÃO A BAIXA ALTITUDE;LALT
80076;PERDA DE CONTROLE EM VOO;LOC-I
80075;OPERAÇÃO A BAIXA ALTITUDE;LALT
80074;OPERAÇÃO A BAIXA ALTITUDE;LALT
80073;PERDA DE CONTROLE EM VOO;LOC-I
80072;FALHA DO MOTOR EM VOO;SCF-PP
80071;FALHA DO MOTOR EM VOO;SCF-PP
80070;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80069;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80068;COM PARA-BRISAS / JANELA / PORTA;SCF-NP
80067;F.O.D.;OTHR
80066;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80065;EXCURSÃO DE PISTA;RE
80065;PERDA DE CONTROLE NO SOLO;LOC-G
80064;PERDA DE CONTROLE EM VOO;LOC-I
80063;COM TREM DE POUSO;SCF-NP
80062;OUTROS;OTHR
80061;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80059;ESTOURO DE PNEU;SCF-NP
80058;FALHA DO MOTOR EM VOO;SCF-PP
80056;FALHA DO MOTOR EM VOO;SCF-PP
80055;COLISÃO COM OBSTÁCULOS NO SOLO;GCOL
80053;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80052;ESTOURO DE PNEU;SCF-NP
80051;ESTOURO DE PNEU;SCF-NP
80050;PERDA DE CONTROLE EM VOO;LOC-I
80049;PERDA DE CONTROLE NO SOLO;LOC-G
80048;ESTOURO DE PNEU;SCF-NP
80046;PERDA DE CONTROLE EM VOO;LOC-I
80045;ESTOURO DE PNEU;SCF-NP
80044;COM TREM DE POUSO;SCF-NP
80043;ESTOURO DE PNEU;SCF-NP
80042;POUSO LONGO;RE
80042;POUSO SEM TREM;ARC
80041;OUTROS;OTHR
80040;ESTOURO DE PNEU;SCF-NP
80039;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80038;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80037;FALHA DO MOTOR EM VOO;SCF-PP
80035;COM CARGAS EXTERNAS;EXTL
80034;OPERAÇÃO A BAIXA ALTITUDE;LALT
80033;INDETERMINADO;UNK
80032;EXCURSÃO DE PISTA;RE
80031;FALHA DO MOTOR EM VOO;SCF-PP
80030;FALHA DO MOTOR EM VOO;SCF-PP
80029;FUMAÇA NA CABINE;F-NI
80028;COM TREM DE POUSO;SCF-NP
80027;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80026;FALHA DO MOTOR EM VOO;SCF-PP
80025;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80024;COLISÃO COM AVE;BIRD
80023;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80022;PERDA DE CONTROLE NO SOLO;LOC-G
80021;FALHA DO MOTOR EM VOO;SCF-PP
80020;COM PARA-BRISAS / JANELA / PORTA;SCF-NP
80019;EXCURSÃO DE PISTA;RE
80019;PERDA DE CONTROLE NO SOLO;LOC-G
80018;COM TREM DE POUSO;SCF-NP
80017;COM TREM DE POUSO;SCF-NP
80015;ESTOURO DE PNEU;SCF-NP
80014;COM TREM DE POUSO;SCF-NP
80014;POUSO BRUSCO;ARC
80012;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
80011;FALHA DO MOTOR EM VOO;SCF-PP
80007;FALHA DO MOTOR EM VOO;SCF-PP
80006;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
80005;FALHA DO MOTOR EM VOO;SCF-PP
80005;PERDA DE CONTROLE EM VOO;LOC-I
80004;COLISÃO COM AVE;BIRD
80002;FOGO/FUMAÇA (SEM IMPACTO);F-NI
80001;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
79999;INDETERMINADO;UNK
79997;PERDA DE CONTROLE EM VOO;LOC-I
79996;EXCURSÃO DE PISTA;RE
79996;PERDA DE CONTROLE NO SOLO;LOC-G
79994;OPERAÇÃO A BAIXA ALTITUDE;LALT
79992;FALHA DO MOTOR EM VOO;SCF-PP
79991;EXCURSÃO DE PISTA;RE
79991;PERDA DE CONTROLE NO SOLO;LOC-G
79990;EXCURSÃO DE PISTA;RE
79990;FALHA DO MOTOR NO SOLO;SCF-PP
79989;COM TREM DE POUSO;SCF-NP
79988;COM TREM DE POUSO;SCF-NP
79985;FALHA DO MOTOR EM VOO;SCF-PP
79983;EXCURSÃO DE PISTA;RE
79982;PERDA DE CONTROLE EM VOO;LOC-I
79981;ESTOURO DE PNEU;SCF-NP
79979;CORTANTE DE VENTO / TEMPESTADE;WSTRW
79978;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79977;FALHA DO MOTOR EM VOO;SCF-PP
79976;FALHA DO MOTOR EM VOO;SCF-PP
79975;POUSO SEM TREM;ARC
79974;ESTOURO DE PNEU;SCF-NP
79973;REBOQUE DE PLANADOR;GTOW
79972;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79971;PERDA DE CONTROLE NO SOLO;LOC-G
79970;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79969;FALHA DO MOTOR EM VOO;SCF-PP
79968;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
79966;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
79963;VOO CONTROLADO CONTRA O TERRENO;CFIT
79962;COM TREM DE POUSO;SCF-NP
79961;POUSO BRUSCO;ARC
79960;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79959;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79958;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79957;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79956;INDETERMINADO;UNK
79955;FALHA DO MOTOR EM VOO;SCF-PP
79954;COLISÃO COM AVE;BIRD
79953;PERDA DE CONTROLE EM VOO;LOC-I
79951;ESTOURO DE PNEU;SCF-NP
79950;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79949;POUSO LONGO;RE
79948;FALHA DO MOTOR EM VOO;SCF-PP
79947;EXCURSÃO DE PISTA;RE
79947;PERDA DE CONTROLE EM VOO;LOC-I
79943;COLISÃO COM FAUNA;WILD
79927;FUMAÇA NA CABINE;F-NI
79926;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79925;COM TREM DE POUSO;SCF-NP
79924;POUSO SEM TREM;ARC
79922;POUSO LONGO;RE
79921;CONTATO ANORMAL COM A PISTAA;ARC
79920;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79919;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79917;PERDA DE CONTROLE NO SOLO;LOC-G
79916;AERONAVE ATINGIDA POR OBJETO;OTHR
79914;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79912;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79911;FALHA DO MOTOR EM VOO;SCF-PP
79910;OPERAÇÃO A BAIXA ALTITUDE;LALT
79909;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
79907;FALHA DO MOTOR EM VOO;SCF-PP
79906;PERDA DE CONTROLE NO SOLO;LOC-G
79905;COM PARA-BRISAS / JANELA / PORTA;SCF-NP
79904;COM TREM DE POUSO;SCF-NP
79903;CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO;OTHR
79903;OPERAÇÃO A BAIXA ALTITUDE;LALT
79902;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79901;ALARME FALSO DE FOGO OU DE SUPERAQUECIMENTO;SCF-NP
79899;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79897;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
79894;PERDA DE CONTROLE EM VOO;LOC-I
79893;PANE SECA;FUEL
79892;FALHA DO MOTOR EM VOO;SCF-PP
79890;FALHA DO MOTOR EM VOO;SCF-PP
79889;PERDA DE CONTROLE NO SOLO;LOC-G
79888;ESTOURO DE PNEU;SCF-NP
79887;ESTOURO DE PNEU;SCF-NP
79886;FOGO EM VOO;F-NI
79885;FALHA DO MOTOR EM VOO;SCF-PP
79883;FALHA DO MOTOR NO SOLO;SCF-PP
79882;FALHA DO MOTOR EM VOO;SCF-PP
79881;POUSO BRUSCO;ARC
79880;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79879;ESTOURO DE PNEU;SCF-NP
79878;DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA;SCF-NP
79877;COM PARA-BRISAS / JANELA / PORTA;SCF-NP
79876;DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA;SCF-NP
79875;ESTOURO DE PNEU;SCF-NP
79874;INDETERMINADO;UNK
79872;COLISÃO COM OBSTÁCULOS NO SOLO;GCOL
79871;OPERAÇÃO A BAIXA ALTITUDE;LALT
79870;EXCURSÃO DE PISTA;RE
79869;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79868;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79867;ESTOURO DE PNEU;SCF-NP
79866;PANE SECA;FUEL
79865;FALHA DO MOTOR EM VOO;SCF-PP
79864;VOO CONTROLADO CONTRA O TERRENO;CFIT
79863;EXCURSÃO DE PISTA;RE
79863;PERDA DE CONTROLE NO SOLO;LOC-G
79862;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79860;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
79859;FALHA DO MOTOR EM VOO;SCF-PP
79858;COLISÃO COM FAUNA;WILD
79858;EXCURSÃO DE PISTA;RE
79857;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
79854;PERDA DE CONTROLE EM VOO;LOC-I
79852;COMBUSTÍVEL;FUEL
79851;FALHA DO MOTOR EM VOO;SCF-PP
79850;CONTATO ANORMAL COM A PISTAA;ARC
79849;FALHA DO MOTOR EM VOO;SCF-PP
79848;EXCURSÃO DE PISTA;RE
79848;PERDA DE CONTROLE NO SOLO;LOC-G
79847;POUSO SEM TREM;ARC
79846;POUSO BRUSCO;ARC
79845;ESTOURO DE PNEU;SCF-NP
79844;FALHA DO MOTOR EM VOO;SCF-PP
79843;ESTOURO DE PNEU;SCF-NP
79841;COM TREM DE POUSO;SCF-NP
79840;PERDA DE CONTROLE EM VOO;LOC-I
79839;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79837;COM COMANDOS DE VOO;SCF-NP
79836;COM PARA-BRISAS / JANELA / PORTA;SCF-NP
79835;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79834;FALHA DO MOTOR NO SOLO;SCF-PP
79833;FALHA DO MOTOR EM VOO;SCF-PP
79831;TRÁFEGO AÉREO;MAC
79830;OUTROS;OTHR
79829;FALHA DO MOTOR EM VOO;SCF-PP
79827;FALHA DO MOTOR NO SOLO;SCF-PP
79826;FALHA DO MOTOR EM VOO;SCF-PP
79825;COM HÉLICE;SCF-PP
79824;PERDA DE CONTROLE EM VOO;LOC-I
79823;VOO CONTROLADO CONTRA O TERRENO;CFIT
79822;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79821;COLISÃO COM AVE;BIRD
79820;OUTROS;OTHR
79819;POUSO SEM TREM;ARC
79818;EXCURSÃO DE PISTA;RE
79818;POUSO BRUSCO;ARC
79816;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79814;POUSO BRUSCO;ARC
79812;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79811;PERDA DE CONTROLE EM VOO;LOC-I
79810;FALHA DO MOTOR EM VOO;SCF-PP
79809;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79808;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79805;COLISÃO COM FAUNA;WILD
79804;DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA;SCF-NP
79803;OUTROS;OTHR
79802;VAZAMENTO DE OUTROS FLUIDOS;OTHR
79801;POUSO SEM TREM;ARC
79800;COM TREM DE POUSO;SCF-NP
79799;EXCURSÃO DE PISTA;RE
79798;FALHA DO MOTOR EM VOO;SCF-PP
79787;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79786;COM TREM DE POUSO;SCF-NP
79785;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79784;COLISÃO COM AVE;BIRD
79776;EXCURSÃO DE PISTA;RE
79770;ESTOURO DE PNEU;SCF-NP
79769;COM TREM DE POUSO;SCF-NP
79769;EXCURSÃO DE PISTA;RE
79766;COM TREM DE POUSO;SCF-NP
79766;EXCURSÃO DE PISTA;RE
79759;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79758;COLISÃO COM AVE;BIRD
79757;FALHA DO MOTOR EM VOO;SCF-PP
79756;POUSO EM LOCAL NÃO PREVISTO;OTHR
79755;IMC NÃO INTENCIONAL;UIMC
79755;PERDA DE CONTROLE EM VOO;LOC-I
79754;EXCURSÃO DE PISTA;RE
79754;PERDA DE CONTROLE NO SOLO;LOC-G
79753;EXCURSÃO DE PISTA;RE
79752;COLISÃO COM AVE;BIRD
79751;EXCURSÃO DE PISTA;RE
79750;ESTOURO DE PNEU;SCF-NP
79749;FALHA DO MOTOR EM VOO;SCF-PP
79748;EXCURSÃO DE PISTA;RE
79748;PERDA DE CONTROLE NO SOLO;LOC-G
79746;COLISÃO COM AVE;BIRD
79745;COLISÃO COM AVE;BIRD
79744;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79743;OPERAÇÃO A BAIXA ALTITUDE;LALT
79742;FALHA DO MOTOR EM VOO;SCF-PP
79741;FALHA DO MOTOR EM VOO;SCF-PP
79740;FALHA DO MOTOR EM VOO;SCF-PP
79739;GERENCIAMENTO DE TRÁFEGO AÉREO (ATM) / SERVIÇO DE COMUNICAÇÃO NAVEGAÇÃO, OU VIGILÂNCIA (CNS);ATM/CNS
79739;INCURSÃO EM PISTA;RI
79738;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
79737;FALHA DO MOTOR EM VOO;SCF-PP
79730;COM PARA-BRISAS / JANELA / PORTA;SCF-NP
79729;POUSO EM LOCAL NÃO PREVISTO;OTHR
79728;FALHA DO MOTOR EM VOO;SCF-PP
79727;ESTOURO DE PNEU;SCF-NP
79726;EXCURSÃO DE PISTA;RE
79726;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79725;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79724;COLISÃO EM VOO COM OBSTÁCULO;EXCLUIR
79723;FALHA DO MOTOR EM VOO;SCF-PP
79722;PANE SECA;FUEL
79720;PANE SECA;FUEL
79719;FALHA DO MOTOR EM VOO;SCF-PP
79718;EXCURSÃO DE PISTA;RE
79717;OPERAÇÃO A BAIXA ALTITUDE;LALT
79716;OPERAÇÃO A BAIXA ALTITUDE;LALT
79714;VAZAMENTO DE OUTROS FLUIDOS;OTHR
79713;PANE SECA;FUEL
79712;EXCURSÃO DE PISTA;RE
79712;POUSO BRUSCO;ARC
79711;COLISÃO COM AVE;BIRD
79710;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79709;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79708;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79707;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79706;ESTOURO DE PNEU;SCF-NP
79705;FALHA DO MOTOR EM VOO;SCF-PP
79704;OPERAÇÕES NO SOLO;[RAMP]
79703;ALARME FALSO DE FOGO OU DE SUPERAQUECIMENTO;SCF-NP
79702;FALHA DO MOTOR EM VOO;SCF-PP
79701;INDETERMINADO;UNK
79700;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79699;COM PARA-BRISAS / JANELA / PORTA;SCF-NP
79698;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79697;FALHA ESTRUTURAL;SCF-NP
79696;PERDA DE CONTROLE NO SOLO;LOC-G
79694;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79692;POUSO LONGO;RE
79691;FALHA DO MOTOR EM VOO;SCF-PP
79690;COM TREM DE POUSO;SCF-NP
79689;POUSO LONGO;RE
79688;ESTOURO DE PNEU;SCF-NP
79687;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79685;AERONAVE ATINGIDA POR OBJETO;OTHR
79685;EXCURSÃO DE PISTA;RE
79684;ESTOURO DE PNEU;SCF-NP
79683;ESTOURO DE PNEU;SCF-NP
79681;OPERAÇÃO A BAIXA ALTITUDE;LALT
79680;FALHA DO MOTOR EM VOO;SCF-PP
79679;COM PARA-BRISAS / JANELA / PORTA;SCF-NP
79678;INDETERMINADO;UNK
79675;COM CARGAS EXTERNAS;EXTL
79674;ESTOURO DE PNEU;SCF-NP
79674;PERDA DE COMPONENTE NO SOLO;SCF-NP
79673;CORTANTE DE VENTO / TEMPESTADE;WSTRW
79673;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79672;ESTOURO DE PNEU;SCF-NP
79672;FALHA DO MOTOR NO SOLO;SCF-PP
79671;FALHA DO MOTOR EM VOO;SCF-PP
79670;ESTOURO DE PNEU;SCF-NP
79669;INDETERMINADO;UNK
79668;COM PARA-BRISAS / JANELA / PORTA;SCF-NP
79667;OUTROS;OTHR
79666;ESTOURO DE PNEU;SCF-NP
79664;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
79663;OUTROS;OTHR
79657;COM PARA-BRISAS / JANELA / PORTA;SCF-NP
79652;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79651;COM TREM DE POUSO;SCF-NP
79651;EXCURSÃO DE PISTA;RE
79651;PERDA DE CONTROLE NO SOLO;LOC-G
79650;MANOBRA ABRUPTA;AMAN
79649;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79648;ESTOURO DE PNEU;SCF-NP
79647;COM TREM DE POUSO;SCF-NP
79646;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79645;INDETERMINADO;UNK
79644;ESTOURO DE PNEU;SCF-NP
79641;COMBUSTÍVEL;FUEL
79640;POUSO LONGO;RE
79639;ESTOURO DE PNEU;SCF-NP
79637;COLISÃO COM AVE;BIRD
79636;FALHA DO MOTOR EM VOO;SCF-PP
79634;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79632;COLISÃO COM FAUNA;WILD
79627;FALHA DO MOTOR EM VOO;SCF-PP
79627;PERDA DE CONTROLE EM VOO;LOC-I
79626;COM TREM DE POUSO;SCF-NP
79625;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
79625;FALHA DO MOTOR EM VOO;SCF-PP
79624;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79623;MANOBRA ABRUPTA;AMAN
79621;PERDA DE CONTROLE EM VOO;LOC-I
79620;COLISÃO COM FAUNA;WILD
79620;EXCURSÃO DE PISTA;RE
79620;PERDA DE CONTROLE NO SOLO;LOC-G
79619;COLISÃO COM FAUNA;WILD
79618;COLISÃO COM AVE;BIRD
79617;EXCURSÃO DE PISTA;RE
79617;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
79609;TRÁFEGO AÉREO;MAC
79608;INDETERMINADO;UNK
79607;FALHA DO MOTOR EM VOO;SCF-PP
79606;ESTOURO DE PNEU;SCF-NP
79605;FALHA DO MOTOR EM VOO;SCF-PP
79601;ESTOURO DE PNEU;SCF-NP
79600;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
79599;FALHA DO MOTOR EM VOO;SCF-PP
79598;INDETERMINADO;UNK
79595;OPERAÇÃO A BAIXA ALTITUDE;LALT
79595;PERDA DE CONTROLE EM VOO;LOC-I
79593;COLISÃO COM OBSTÁCULOS NO SOLO;GCOL
79592;POUSO BRUSCO;ARC
