codigo_ocorrencia1;ocorrencia_tipo;taxonomia_tipo_icao
83666;COLISÃO COM AVE;BIRD
83665;COLISÃO COM AVE;BIRD
83664;COLISÃO COM AVE;BIRD
83663;COLISÃO COM AVE;BIRD
83662;COLISÃO COM AVE;BIRD
83661;COLISÃO COM FAUNA;WILD
83660;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83659;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83658;INDETERMINADO;UNK
83640;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83639;EXCURSÃO DE PISTA;RE
83639;PERDA DE CONTROLE NO SOLO;LOC-G
83638;COLISÃO COM AVE;BIRD
83637;COLISÃO COM AVE;BIRD
83636;COLISÃO COM AVE;BIRD
83635;PERDA DE CONTROLE EM VOO;LOC-I
83634;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
83633;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83632;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
83629;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83628;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
83628;EXCURSÃO DE PISTA;RE
83627;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
83625;COLISÃO COM AVE;BIRD
83624;COLISÃO COM AVE;BIRD
83623;COLISÃO COM AVE;BIRD
83622;COLISÃO COM AVE;BIRD
83621;COLISÃO COM AVE;BIRD
83620;COLISÃO COM AVE;BIRD
83619;COLISÃO COM AVE;BIRD
83618;COLISÃO COM AVE;BIRD
83617;COLISÃO COM AVE;BIRD
83616;COLISÃO COM AVE;BIRD
83615;COLISÃO COM AVE;BIRD
83614;COLISÃO COM AVE;BIRD
83613;COLISÃO COM AVE;BIRD
83612;COLISÃO COM FAUNA;WILD
83611;CONTATO ANORMAL COM A PISTAA;ARC
83610;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
83609;PERDA DE CONTROLE NO SOLO;LOC-G
83608;COLISÃO COM AVE;BIRD
83606;COLISÃO COM AVE;BIRD
83605;COLISÃO COM AVE;BIRD
83604;COLISÃO COM AVE;BIRD
83603;COLISÃO COM AVE;BIRD
83602;COLISÃO COM AVE;BIRD
83601;COLISÃO COM AVE;BIRD
83600;OPERAÇÕES NO SOLO;[RAMP]
