arquivo,numero,codigo_ocorrencia,join,fatal,n_fatalidades,nivel_dano,h_total,h_tipo,h_total_30d,h_total_24h,idade_pic,fonte_horas,tipo_operacao,fase_voo,motor_tipo,motor_qtd,pmd,assentos,ano_fabricacao,fabricante,modelo,tipo_ocorrencia,tipo_icao,uf,ano_ocorrencia,meteo,total_recomendacoes,fator_humano,fator_operacional,fator_material,n_fatores
pp_gqj_19_03_12.pdf,A-093/CENIPA/2013,45652,numero,0,0,SUBSTANCIAL,500.0,280.0,,,,narrativa,INSTRUÇÃO,MANOBRA,PISTÃO,1,770,3,1993,AERO BOERO,AB-115,PERDA DE CONTROLE EM VOO,LOC-I,RS,2012,,0,0,0,0,0
pp_gqv_24_07_12.pdf,A-128/CENIPA/2013,49122,numero,0,0,SUBSTANCIAL,601.0,,,,,narrativa,INSTRUÇÃO,POUSO,PISTÃO,1,1247,4,1990,PIPER AIRCRAFT,PA-28R-201,POUSO SEM TREM,ARC,RS,2013,,0,0,1,0,1
pp_gqw_30_12_13.pdf,A-231/CENIPA/2013,50347,numero,0,0,SUBSTANCIAL,1000.0,,,,,narrativa,INSTRUÇÃO,ARREMETIDA NO SOLO,PISTÃO,1,770,2,1993,AERO BOERO,AB-115,PERDA DE CONTROLE NO SOLO,LOC-G,RS,2013,,0,0,1,0,2
pp_grf_12_07_11_9.pdf,A-019/CENIPA/2014,44817,numero,0,0,SUBSTANCIAL,3739.0,,0.0,0.0,,tabela,INSTRUÇÃO,APROXIMAÇÃO FINAL,PISTÃO,1,770,2,1993,AERO BOERO,AB-115,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,RO,2011,,2,0,1,0,7
pp_grn_22_09_07.pdf,A-063/CENIPA/2010,30640,numero,0,0,SUBSTANCIAL,273.0,105.0,41.0,2.0,,tabela,INSTRUÇÃO,POUSO,PISTÃO,1,770,2,1993,AERO BOERO,AB-115,POUSO BRUSCO,ARC,SP,2007,,1,0,1,0,6
pp_gru_09_01_14.pdf,A-010/CENIPA/2014,52935,numero,0,0,SUBSTANCIAL,20.0,,,,,narrativa,INSTRUÇÃO,DECOLAGEM,PISTÃO,1,770,2,1993,AERO BOERO,AB-115,PERDA DE CONTROLE NO SOLO,LOC-G,RS,2014,,1,0,1,0,5
pp_guj_15_04_14.pdf,A-075/CENIPA/2014,51002,numero,0,0,SUBSTANCIAL,148.0,60.0,,,,narrativa,INSTRUÇÃO,SUBIDA,PISTÃO,1,587,2,1946,CIA AERONAUTICA PAULISTA,CAP-4,FALHA DO MOTOR EM VOO,SCF-PP,RS,2014,,0,0,0,0,0
pp_gut_31_07_05.pdf,A-045/CENIPA/2011,44820,mat_unico,0,0,SUBSTANCIAL,220.0,150.0,12.0,,,tabela,INSTRUÇÃO,CORRIDA APÓS POUSO,PISTÃO,1,660,2,1961,NEIVA INDUSTRIA AERONAUTICA,56-C,EXCURSÃO DE PISTA,RE,SP,2011,,0,0,1,0,4
pp_gvn_31_08_14.pdf,A-151/CENIPA/2014,52631,numero,0,0,NENHUM,179.0,77.0,,,,narrativa,INSTRUÇÃO,PARTIDA DO MOTOR,PISTÃO,1,660,2,1961,NEIVA,56-C,COLISÃO COM OBSTÁCULOS NO SOLO,GCOL,PR,2014,,0,0,0,0,0
pp_gyk_21_03_10_7.pdf,A-068/CENIPA/2011,40149,numero,0,0,DESTRUÍDA,36.5,36.5,1.5,1.5,,tabela,INSTRUÇÃO,DECOLAGEM,PISTÃO,1,840,2,1974,XAVANTE,A-122-B,FALHA DO MOTOR EM VOO,SCF-PP,GO,2010,,2,0,1,0,2
